cohort	n	n_events	c_mvl_obs	c_mvl_null_med	c_mvl_null_lo	c_mvl_null_hi	p_mvl	c_xgb_obs	c_xgb_null_med	c_xgb_null_lo	c_xgb_null_hi	p_xgb
READ_PFI_df160	116	25	0.815436241610738	0.502158710854363	0.375378463219053	0.636103208282384	0	0.990492170022371	0.502691803708578	0.377644355061746	0.631867889612438	0
SARC_DFI_df305	167	75	0.97045871559633	0.500505205182979	0.425645720055927	0.573417155964133	0	0.999755351681957	0.499262375805132	0.422002132327175	0.571443592763122	0
SARC_DSS_df305	270	84	0.988782991202346	0.49889255633058	0.42910446299447	0.572830547566546	0	0.999633431085044	0.498604693744688	0.430073073717185	0.574341827494781	0
SARC_OS_df305	276	101	0.984511304967064	0.502641524097025	0.432466538841814	0.563455755151627	0	0.99905050145392	0.503150084207004	0.431866671499994	0.564259490939841	0
SARC_PFI_df305	276	149	0.954112317425603	0.500857235423715	0.451502157921548	0.555345237521322	0	0.997305319065844	0.501318058389231	0.448685830557268	0.55305321498109	0
SKCM_DSS_df377	454	192	0.776898072904574	0.499337766261921	0.453463549639581	0.546407489342206	0	0.99791037845368	0.500406756756869	0.45661150713278	0.544881717314492	0
SKCM_OS_df377	460	218	0.782701092353525	0.500562851440023	0.456093484538616	0.54620910579323	0	0.997000993048659	0.500121235636552	0.45314997179889	0.541033264203878	0
SKCM_PFI_df377	461	313	0.763831946417698	0.499993046817024	0.461349084418233	0.535881188657983	0	0.97936540152899	0.5000700006445	0.460462803210625	0.536973411556844	0
STAD_DFI_df157	303	56	0.936092624669523	0.501824550706505	0.411966240398487	0.58657260722663	0	0.999817667973379	0.50240807852319	0.412317199578862	0.586621215486484	0
STAD_DSS_df157	482	102	0.818538884524745	0.500797278993344	0.434893204284347	0.564363310595607	0	0.995099689522313	0.501230527299508	0.434030114080545	0.562694906885909	0
STAD_OS_df157	507	185	0.798919801778058	0.500566038230849	0.452025745747156	0.547215015363249	0	0.996826221719037	0.500663671420147	0.452356231565762	0.548350410983217	0
STAD_PFI_df157	509	151	0.847089365484014	0.499607375751944	0.446723933215876	0.552227107555004	0	0.994620763851533	0.500988239790144	0.449685589212926	0.551253574612673	0
TGCT_DFI_df377	118	40	0.985578678349763	0.498253162877213	0.400873037661387	0.602134966567583	0	1	0.49910630997866	0.400610973887588	0.602064264172582	0
TGCT_PFI_df377	147	48	0.976169064748201	0.497735767643341	0.40511893154652	0.590516933160137	0	0.999775179856115	0.498211917766058	0.404636938565368	0.596772958347894	0
THCA_DFI_df377	370	29	0.934771763532053	0.50009865680628	0.381717246406325	0.629106738868516	0	1	0.502513906464142	0.381395198765839	0.623309415696468	0
THCA_OS_df377	528	16	0.971330878485008	0.50025025025025	0.34507472790468	0.670835970294314	0	1	0.497534306558777	0.339711258780265	0.672405886607653	0
THCA_PFI_df377	528	58	0.908301782251362	0.500082244417477	0.41291162678972	0.591795375512825	0	1	0.497459010922968	0.409493951637859	0.587932389431488	0
THYM_PFI_df377	118	21	0.5	0.5	0.5	0.5	1	0.999375390381012	0.500607686523179	0.356267035202887	0.648155686354912	0
UCEC_DSS_df377	180	26	0.904781704781705	0.500109710637682	0.366882849660627	0.620079855632732	0	0.9995841995842	0.497064088793412	0.362478083362555	0.618552816479016	0
UCEC_OS_df377	182	36	0.879219572623103	0.501658249276732	0.395800222388503	0.597698047168686	0	0.99969030659647	0.499738830593702	0.392233298052558	0.604200822288162	0
UCEC_PFI_df377	182	48	0.839322172315231	0.501121457262175	0.407410306464049	0.586476765984037	0	1	0.5	0.410153925840148	0.592865087549861	0
UCS_DSS_df377	55	31	0.578421578421578	0.500907269613899	0.382684448053677	0.619050703182828	0.118	0.84965034965035	0.501419329022852	0.384903272032481	0.626850358928675	0
UCS_OS_df377	57	35	0.607427055702918	0.500944732691498	0.39057760910448	0.620044920045787	0.033	0.829354553492485	0.498238481828117	0.392583869418293	0.608880772703818	0
UCS_PFI_df377	57	37	0.664566929133858	0.50023786869648	0.391340956076131	0.605084103713545	0.002	0.829133858267717	0.502464268710953	0.390011883034512	0.608376859581215	0
UVM_DSS_df377	79	20	0.98536036036036	0.49838724565146	0.348645060381202	0.647643900402756	0	0.995495495495496	0.498612586400653	0.348946444805689	0.649094813619849	0
UVM_OS_df377	79	22	0.988372093023256	0.503057006824076	0.365671045117076	0.645126416055819	0	0.998942917547569	0.501824884792627	0.359256629425226	0.641547540056772	0
UVM_PFI_df377	78	28	0.979609175870858	0.505649387630859	0.379275669393233	0.625543458830217	0	0.997451146983857	0.506561679790026	0.378004459156317	0.628118860714375	0
