cohort	model	param	value
GBM_OS_df017	XGBoost	eta	0.05
GBM_OS_df017	XGBoost	max_depth	4
GBM_OS_df017	XGBoost	min_child_weight	3
GBM_OS_df017	XGBoost	subsample	0.8
GBM_OS_df017	XGBoost	nthread	1
GBM_OS_df017	XGBoost	validate_parameters	TRUE
GBM_OS_df017	XGBoost	nrounds	500
GBM_OS_df017	RSF	ntree	1000
GBM_OS_df017	RSF	mtry	17
GBM_OS_df017	RSF	nodesize	15
GBM_OS_df017	MTLR	nintervals	default
GBM_OS_df017	MTLR	regularization	C1=0.1
GBM_OS_df017	MVL	weight_XGBoost	11.885467
GBM_OS_df017	MVL	weight_Boruta	0.372523
GBM_OS_df017	MVL	weight_MTLR	0.238489
GBM_OS_df017	MVL	weight_RSF	-0.18407
GBM_PFI_df017	XGBoost	objective	survival:cox
GBM_PFI_df017	XGBoost	eval_metric	cox-nloglik
GBM_PFI_df017	XGBoost	eta	0.05
GBM_PFI_df017	XGBoost	max_depth	4
GBM_PFI_df017	XGBoost	min_child_weight	3
GBM_PFI_df017	XGBoost	subsample	0.8
GBM_PFI_df017	XGBoost	nthread	1
GBM_PFI_df017	XGBoost	validate_parameters	TRUE
GBM_PFI_df017	XGBoost	nrounds	500
GBM_PFI_df017	RSF	ntree	1000
GBM_PFI_df017	RSF	mtry	17
GBM_PFI_df017	RSF	nodesize	15
GBM_PFI_df017	MTLR	nintervals	default
GBM_PFI_df017	MTLR	regularization	C1=1
GBM_PFI_df017	MVL	weight_XGBoost	0.360432
GBM_PFI_df017	MVL	weight_Boruta	0.215124
GBM_PFI_df017	MVL	weight_MTLR	0.205637
GBM_PFI_df017	MVL	weight_RSF	0
HNSC_DFI_df017	XGBoost	objective	survival:cox
HNSC_DFI_df017	XGBoost	eval_metric	cox-nloglik
HNSC_DFI_df017	XGBoost	eta	0.05
HNSC_DFI_df017	XGBoost	max_depth	4
HNSC_DFI_df017	XGBoost	min_child_weight	3
HNSC_DFI_df017	XGBoost	subsample	0.8
HNSC_DFI_df017	XGBoost	nthread	1
HNSC_DFI_df017	XGBoost	validate_parameters	TRUE
HNSC_DFI_df017	XGBoost	nrounds	500
HNSC_DFI_df017	RSF	ntree	1000
HNSC_DFI_df017	RSF	mtry	24
HNSC_DFI_df017	RSF	nodesize	15
HNSC_DFI_df017	MTLR	nintervals	default
HNSC_DFI_df017	MTLR	regularization	C1=1
HNSC_DFI_df017	MVL	weight_XGBoost	16.950644
HNSC_DFI_df017	MVL	weight_Boruta	0.755756
HNSC_DFI_df017	MVL	weight_RSF	-0.576533
HNSC_DFI_df017	MVL	weight_MTLR	0.302473
HNSC_DSS_df017	XGBoost	objective	survival:cox
HNSC_DSS_df017	XGBoost	eval_metric	cox-nloglik
HNSC_DSS_df017	XGBoost	eta	0.05
HNSC_DSS_df017	XGBoost	max_depth	4
HNSC_DSS_df017	XGBoost	min_child_weight	3
HNSC_DSS_df017	XGBoost	subsample	0.8
HNSC_DSS_df017	XGBoost	nthread	1
HNSC_DSS_df017	XGBoost	validate_parameters	TRUE
HNSC_DSS_df017	XGBoost	nrounds	500
HNSC_DSS_df017	RSF	ntree	1000
HNSC_DSS_df017	RSF	mtry	24
HNSC_DSS_df017	RSF	nodesize	15
HNSC_DSS_df017	MTLR	nintervals	default
HNSC_DSS_df017	MTLR	regularization	C1=0.1
HNSC_DSS_df017	MVL	weight_XGBoost	4.798439
HNSC_DSS_df017	MVL	weight_RSF	0.277559
HNSC_DSS_df017	MVL	weight_MTLR	0.221547
HNSC_DSS_df017	MVL	weight_Boruta	0.112477
HNSC_OS_df017	XGBoost	objective	survival:cox
HNSC_OS_df017	XGBoost	eval_metric	cox-nloglik
HNSC_OS_df017	XGBoost	eta	0.05
HNSC_OS_df017	XGBoost	max_depth	4
HNSC_OS_df017	XGBoost	min_child_weight	3
HNSC_OS_df017	XGBoost	subsample	0.8
HNSC_OS_df017	XGBoost	nthread	1
HNSC_OS_df017	XGBoost	validate_parameters	TRUE
HNSC_OS_df017	XGBoost	nrounds	500
HNSC_OS_df017	RSF	ntree	1000
HNSC_OS_df017	RSF	mtry	24
HNSC_OS_df017	RSF	nodesize	15
HNSC_OS_df017	MTLR	nintervals	default
HNSC_OS_df017	MTLR	regularization	C1=1
HNSC_OS_df017	MVL	weight_XGBoost	8.952829
HNSC_OS_df017	MVL	weight_RSF	0.387485
HNSC_OS_df017	MVL	weight_MTLR	0.140845
HNSC_OS_df017	MVL	weight_Boruta	0.029647
HNSC_PFI_df017	XGBoost	objective	survival:cox
HNSC_PFI_df017	XGBoost	eval_metric	cox-nloglik
HNSC_PFI_df017	XGBoost	eta	0.05
HNSC_PFI_df017	XGBoost	max_depth	4
HNSC_PFI_df017	XGBoost	min_child_weight	3
HNSC_PFI_df017	XGBoost	subsample	0.8
HNSC_PFI_df017	XGBoost	nthread	1
HNSC_PFI_df017	XGBoost	validate_parameters	TRUE
HNSC_PFI_df017	XGBoost	nrounds	500
HNSC_PFI_df017	RSF	ntree	1000
HNSC_PFI_df017	RSF	mtry	24
HNSC_PFI_df017	RSF	nodesize	15
HNSC_PFI_df017	MTLR	nintervals	default
HNSC_PFI_df017	MTLR	regularization	C1=10
HNSC_PFI_df017	MVL	weight_XGBoost	2.570056
HNSC_PFI_df017	MVL	weight_RSF	0.326054
